Merchant_id,Total_sales,Sales_use_coupon,Total_coupon,Merchant_min_distance,Merchant_max_distance,Merchant_mean_distance,Merchant_median_distance,Merchant_coupon_transfer_rate,Coupon_rate
6336,69,1,54,0,0,0.0,0,0.018518518518518517,0.014492753623188406
1829,51,8,10,-1,0,-0.5,-1,0.8,0.1568627450980392
5803,654,16,294,-1,1,-0.375,-1,0.05442176870748299,0.024464831804281346
2142,12,1,8,2,2,2.0,2,0.125,0.08333333333333333
3997,25,1,1,0,0,0.0,0,1.0,0.04
833,63,4,19,0,0,0.0,0,0.21052631578947367,0.06349206349206349
8638,40,4,26,0,1,0.25,0,0.15384615384615385,0.1
4519,12,1,9,0,0,0.0,0,0.1111111111111111,0.08333333333333333
7240,4,1,4,-1,-1,-1.0,-1,0.25,0.25
5518,3,1,3,1,1,1.0,1,0.3333333333333333,0.3333333333333333
1645,2,1,2,10,10,10.0,10,0.5,0.5
3175,10,2,4,0,0,0.0,0,0.5,0.2
496,9,2,9,0,0,0.0,0,0.2222222222222222,0.2222222222222222
6658,4,2,5,-1,4,1.5,-1,0.4,0.5
8389,3,1,4,0,0,0.0,0,0.25,0.3333333333333333
5300,3,1,3,0,0,0.0,0,0.3333333333333333,0.3333333333333333
2122,8,2,4,0,0,0.0,0,0.5,0.25
2999,19,1,19,3,3,3.0,3,0.05263157894736842,0.05263157894736842
5614,36,1,47,3,3,3.0,3,0.02127659574468085,0.027777777777777776
1025,2,1,4,-1,-1,-1.0,-1,0.25,0.5
1896,9,2,3,0,0,0.0,0,0.6666666666666666,0.2222222222222222
392,1,1,3,-1,-1,-1.0,-1,0.3333333333333333,1.0
6825,49,14,102,-1,1,-0.14285714285714285,0,0.13725490196078433,0.2857142857142857
3488,83,3,71,-1,0,-0.3333333333333333,0,0.04225352112676056,0.03614457831325301
7850,13,1,10,0,0,0.0,0,0.1,0.07692307692307693
5984,6,1,4,-1,-1,-1.0,-1,0.25,0.16666666666666666
6266,19,1,1,0,0,0.0,0,1.0,0.05263157894736842
3352,18,1,21,0,0,0.0,0,0.047619047619047616,0.05555555555555555
1618,2,1,1,0,0,0.0,0,1.0,0.5
1303,1,1,1,0,0,0.0,0,1.0,1.0
451,94,6,62,0,5,1.5,1,0.0967741935483871,0.06382978723404255
6597,181,11,29,0,1,0.09090909090909091,0,0.3793103448275862,0.06077348066298342
5074,136,1,124,-1,-1,-1.0,-1,0.008064516129032258,0.007352941176470588
7910,903,246,653,-1,10,0.36585365853658536,0,0.3767228177641654,0.2724252491694352
3876,359,2,246,-1,-1,-1.0,-1,0.008130081300813009,0.005571030640668524
4239,9,1,1,1,1,1.0,1,1.0,0.1111111111111111
3986,7,1,5,-1,-1,-1.0,-1,0.2,0.14285714285714285
6361,42,2,21,0,0,0.0,0,0.09523809523809523,0.047619047619047616
7530,6,1,3,0,0,0.0,0,0.3333333333333333,0.16666666666666666
5223,10,1,4,0,0,0.0,0,0.25,0.1
2622,510,28,153,-1,10,0.8214285714285714,0,0.1830065359477124,0.054901960784313725
5907,21,6,17,1,5,2.5,1,0.35294117647058826,0.2857142857142857
8211,65,7,1080,0,6,1.4285714285714286,1,0.006481481481481481,0.1076923076923077
8678,188,16,65,-1,3,0.125,0,0.24615384615384617,0.0851063829787234
5217,2,1,1,0,0,0.0,0,1.0,0.5
3561,69,2,33,0,0,0.0,0,0.06060606060606061,0.028985507246376812
2655,46,2,7,0,0,0.0,0,0.2857142857142857,0.043478260869565216
7324,10,4,21,0,0,0.0,0,0.19047619047619047,0.4
5513,10,1,2,0,0,0.0,0,0.5,0.1
6934,11,2,4,0,0,0.0,0,0.5,0.18181818181818182
2656,3,1,2,0,0,0.0,0,0.5,0.3333333333333333
6154,10,7,7,0,10,2.857142857142857,0,1.0,0.7
970,292,31,140,-1,10,0.45161290322580644,0,0.22142857142857142,0.10616438356164383
3028,24,5,43,0,10,2.8,0,0.11627906976744186,0.20833333333333334
2559,38,4,10,-1,3,0.5,0,0.4,0.10526315789473684
2247,59,5,28,-1,0,-0.8,-1,0.17857142857142858,0.0847457627118644
2914,63,6,45,0,0,0.0,0,0.13333333333333333,0.09523809523809523
1157,65,3,20,0,1,0.3333333333333333,0,0.15,0.046153846153846156
6864,1,1,3,-1,-1,-1.0,-1,0.3333333333333333,1.0
3790,1,1,3,5,5,5.0,5,0.3333333333333333,1.0
4477,5,1,2,0,0,0.0,0,0.5,0.2
5140,54,1,10,0,0,0.0,0,0.1,0.018518518518518517
4291,10,10,24,-1,-1,-1.0,-1,0.4166666666666667,1.0
7206,166,13,47,0,3,0.3076923076923077,0,0.2765957446808511,0.0783132530120482
296,10,1,6,0,0,0.0,0,0.16666666666666666,0.1
1718,8,1,5,3,3,3.0,3,0.2,0.125
133,9,1,6,-1,-1,-1.0,-1,0.16666666666666666,0.1111111111111111
1888,9,1,2,0,0,0.0,0,0.5,0.1111111111111111
6378,27,3,24,0,2,1.3333333333333333,2,0.125,0.1111111111111111
8146,10,1,7,1,1,1.0,1,0.14285714285714285,0.1
5867,22,2,7,0,10,5.0,0,0.2857142857142857,0.09090909090909091
1016,4,1,7,2,2,2.0,2,0.14285714285714285,0.25
4167,9,1,6,1,1,1.0,1,0.16666666666666666,0.1111111111111111
5692,4,1,1,0,0,0.0,0,1.0,0.25
5030,4,1,4,2,2,2.0,2,0.25,0.25
8664,7,1,3,4,4,4.0,4,0.3333333333333333,0.14285714285714285
2479,65,6,43,-1,2,0.3333333333333333,0,0.13953488372093023,0.09230769230769231
974,67,2,86,3,3,3.0,3,0.023255813953488372,0.029850746268656716
1160,15,3,9,10,10,10.0,10,0.3333333333333333,0.2
7169,12,2,13,0,0,0.0,0,0.15384615384615385,0.16666666666666666
4725,4,1,3,0,0,0.0,0,0.3333333333333333,0.25
6237,7,1,2,0,0,0.0,0,0.5,0.14285714285714285
4512,13,1,1,0,0,0.0,0,1.0,0.07692307692307693
6108,3,1,3,-1,-1,-1.0,-1,0.3333333333333333,0.3333333333333333
2835,56,7,23,0,1,0.2857142857142857,0,0.30434782608695654,0.125
6913,17,4,5,0,0,0.0,0,0.8,0.23529411764705882
4782,24,1,25,7,7,7.0,7,0.04,0.041666666666666664
