User_id,Merchant_id,User_merchant_buy_total,User_merchant_received,User_merchant_buy_use_coupon,User_merchant_any,User_merchant_buy_common,User_merchant_coupon_transfer_rate,User_merchant_coupon_buy_rate,User_merchant_coupon_rate,User_merchant_coupon_common_rate
31197,171,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
104286,171,4,2,1,5,1,0.5,0.25,0.8,0.25
116103,3381,2,2,1,3,1,0.5,0.5,0.6666666666666666,0.5
137833,8037,2,2,1,3,1,0.5,0.5,0.6666666666666666,0.5
156460,7555,6,2,2,6,2,1.0,0.3333333333333333,1.0,0.3333333333333333
230828,6186,3,2,1,4,1,0.5,0.3333333333333333,0.75,0.3333333333333333
384045,3381,1,1,1,1,1,1.0,1.0,1.0,1.0
449858,2099,1,1,1,1,1,1.0,1.0,1.0,1.0
539117,3381,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
547261,5341,3,4,3,4,3,0.75,1.0,0.75,1.0
620267,1379,2,1,1,2,1,1.0,0.5,1.0,0.5
635392,2934,9,1,1,9,1,1.0,0.1111111111111111,1.0,0.1111111111111111
674379,2099,2,1,1,2,1,1.0,0.5,1.0,0.5
788556,3381,1,3,1,3,1,0.3333333333333333,1.0,0.3333333333333333,1.0
899946,1041,1,1,1,1,1,1.0,1.0,1.0,1.0
899974,3621,8,2,1,9,1,0.5,0.125,0.8888888888888888,0.125
936819,6485,3,2,2,3,2,1.0,0.6666666666666666,1.0,0.6666666666666666
976985,2436,5,2,2,5,2,1.0,0.4,1.0,0.4
1070698,2099,1,1,1,1,1,1.0,1.0,1.0,1.0
1278985,3786,2,1,1,2,1,1.0,0.5,1.0,0.5
1314035,2934,2,2,2,2,2,1.0,1.0,1.0,1.0
1417173,5341,15,4,4,15,4,1.0,0.26666666666666666,1.0,0.26666666666666666
1424314,2976,6,2,2,6,2,1.0,0.3333333333333333,1.0,0.3333333333333333
1446313,2934,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
1511021,3710,2,2,1,3,1,0.5,0.5,0.6666666666666666,0.5
1624216,3532,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
1624541,6485,5,1,1,5,1,1.0,0.2,1.0,0.2
1654675,5341,8,4,4,8,4,1.0,0.5,1.0,0.5
1783901,2934,2,1,1,2,1,1.0,0.5,1.0,0.5
1893371,2934,1,1,1,1,1,1.0,1.0,1.0,1.0
1943063,7717,35,5,1,39,1,0.2,0.02857142857142857,0.8974358974358975,0.02857142857142857
1945349,5341,5,4,4,5,4,1.0,0.8,1.0,0.8
1984584,1945,3,2,2,3,2,1.0,0.6666666666666666,1.0,0.6666666666666666
2032887,2709,1,1,1,1,1,1.0,1.0,1.0,1.0
2037486,2934,2,1,1,2,1,1.0,0.5,1.0,0.5
2064048,1433,3,3,1,5,1,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333
2064863,6284,1,3,1,3,1,0.3333333333333333,1.0,0.3333333333333333,1.0
2115739,2934,11,2,2,11,2,1.0,0.18181818181818182,1.0,0.18181818181818182
2132668,2934,13,1,1,13,1,1.0,0.07692307692307693,1.0,0.07692307692307693
2133366,6454,2,2,1,3,1,0.5,0.5,0.6666666666666666,0.5
2134004,2099,2,1,1,2,1,1.0,0.5,1.0,0.5
2143504,1520,6,6,6,6,6,1.0,1.0,1.0,1.0
2270395,5341,8,2,2,8,2,1.0,0.25,1.0,0.25
2311166,6485,4,3,2,5,2,0.6666666666666666,0.5,0.8,0.5
2333558,5138,4,1,1,4,1,1.0,0.25,1.0,0.25
2403491,760,1,1,1,1,1,1.0,1.0,1.0,1.0
2414524,3599,1,1,1,1,1,1.0,1.0,1.0,1.0
2601598,5341,3,3,3,3,3,1.0,1.0,1.0,1.0
2665191,2558,2,1,1,2,1,1.0,0.5,1.0,0.5
2702586,2099,2,1,1,2,1,1.0,0.5,1.0,0.5
2773611,7483,3,2,1,4,1,0.5,0.3333333333333333,0.75,0.3333333333333333
2789586,3283,3,2,2,3,2,1.0,0.6666666666666666,1.0,0.6666666666666666
2877967,760,2,1,1,2,1,1.0,0.5,1.0,0.5
2990990,2934,2,1,1,2,1,1.0,0.5,1.0,0.5
3034674,6485,3,2,2,3,2,1.0,0.6666666666666666,1.0,0.6666666666666666
3147588,3284,2,1,1,2,1,1.0,0.5,1.0,0.5
3201413,3532,5,2,2,5,2,1.0,0.4,1.0,0.4
3259515,6485,5,2,2,5,2,1.0,0.4,1.0,0.4
3280062,8181,1,2,1,2,1,0.5,1.0,0.5,1.0
3303431,5341,2,1,1,2,1,1.0,0.5,1.0,0.5
3343029,1520,1,1,1,1,1,1.0,1.0,1.0,1.0
3380698,1945,12,1,1,12,1,1.0,0.08333333333333333,1.0,0.08333333333333333
3508647,7600,4,2,2,4,2,1.0,0.5,1.0,0.5
3619746,1379,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
3633333,1132,1,1,1,1,1,1.0,1.0,1.0,1.0
3695920,3283,3,2,2,3,2,1.0,0.6666666666666666,1.0,0.6666666666666666
3738961,5341,1,2,1,2,1,0.5,1.0,0.5,1.0
3750296,6885,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
3858038,611,3,2,2,3,2,1.0,0.6666666666666666,1.0,0.6666666666666666
4158285,1941,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
4243948,6485,5,1,1,5,1,1.0,0.2,1.0,0.2
4279387,3630,2,1,1,2,1,1.0,0.5,1.0,0.5
4285352,2099,1,1,1,1,1,1.0,1.0,1.0,1.0
4328828,2934,1,1,1,1,1,1.0,1.0,1.0,1.0
4328917,2667,4,2,2,4,2,1.0,0.5,1.0,0.5
4394302,5591,3,1,1,3,1,1.0,0.3333333333333333,1.0,0.3333333333333333
4408820,8037,10,4,3,11,3,0.75,0.3,0.9090909090909091,0.3
4434471,1379,4,1,1,4,1,1.0,0.25,1.0,0.25
4499722,5341,2,5,2,5,2,0.4,1.0,0.4,1.0
